PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Iowa,20121106,N/A,ADAIR,County,"3,996","2,114","Romney, W. Mitt",Challenger,"1,790","Obama, Barack H.",Incumbent,Libertarian,30,"Johnson, Gary E.",Challenger,62,324,R,52.90,44.79,.75,1.55,54.15,45.85,"The other vote was: Litzel, Jerry (Nominated by Petition) 6; Harris, James (Socialist Workers Party) 5; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 31; La Riva, Gloria (Socialism and Liberation) 3",,"The other vote was: Litzel, Jerry (Nominated by Petition) 6; Harris, James (Socialist Workers Party) 5; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 31; La Riva, Gloria (Socialism and Liberation) 3"
President,Iowa,20121106,N/A,ADAMS,County,"2,185","1,108","Romney, W. Mitt",Challenger,"1,028","Obama, Barack H.",Incumbent,Libertarian,16,"Johnson, Gary E.",Challenger,33,80,R,50.71,47.05,.73,1.51,51.87,48.13,"The other vote was: Litzel, Jerry (Nominated by Petition) 8; Harris, James (Socialist Workers Party) 4; Stein, Jill (Green) 3; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 12; La Riva, Gloria (Socialism and Liberation) 0",,"The other vote was: Litzel, Jerry (Nominated by Petition) 8; Harris, James (Socialist Workers Party) 4; Stein, Jill (Green) 3; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 12; La Riva, Gloria (Socialism and Liberation) 0"
President,Iowa,20121106,N/A,ALLAMAKEE,County,"6,934","3,264","Romney, W. Mitt",Challenger,"3,553","Obama, Barack H.",Incumbent,Libertarian,27,"Johnson, Gary E.",Challenger,90,289,D,47.07,51.24,.39,1.30,47.88,52.12,"The other vote was: Litzel, Jerry (Nominated by Petition) 2; Harris, James (Socialist Workers Party) 17; Stein, Jill (Green) 27; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 34; La Riva, Gloria (Socialism and Liberation) 1",,"The other vote was: Litzel, Jerry (Nominated by Petition) 2; Harris, James (Socialist Workers Party) 17; Stein, Jill (Green) 27; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 34; La Riva, Gloria (Socialism and Liberation) 1"
President,Iowa,20121106,N/A,APPANOOSE,County,"6,245","3,161","Romney, W. Mitt",Challenger,"2,951","Obama, Barack H.",Incumbent,Libertarian,44,"Johnson, Gary E.",Challenger,89,210,R,50.62,47.25,.70,1.43,51.72,48.28,"The other vote was: Litzel, Jerry (Nominated by Petition) 8; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 18; Goode, Virgil H. Jr. (Write-in) 15; Scattered Write-In (Write-in) 44; La Riva, Gloria (Socialism and Liberation) 2",,"The other vote was: Litzel, Jerry (Nominated by Petition) 8; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 18; Goode, Virgil H. Jr. (Write-in) 15; Scattered Write-In (Write-in) 44; La Riva, Gloria (Socialism and Liberation) 2"
President,Iowa,20121106,N/A,AUDUBON,County,"3,457","1,802","Romney, W. Mitt",Challenger,"1,611","Obama, Barack H.",Incumbent,Libertarian,12,"Johnson, Gary E.",Challenger,32,191,R,52.13,46.60,.35,.93,52.80,47.20,"The other vote was: Litzel, Jerry (Nominated by Petition) 2; Harris, James (Socialist Workers Party) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 12; La Riva, Gloria (Socialism and Liberation) 1",,"The other vote was: Litzel, Jerry (Nominated by Petition) 2; Harris, James (Socialist Workers Party) 1; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 12; La Riva, Gloria (Socialism and Liberation) 1"
President,Iowa,20121106,N/A,BENTON,County,"14,023","6,940","Romney, W. Mitt",Challenger,"6,862","Obama, Barack H.",Incumbent,Libertarian,100,"Johnson, Gary E.",Challenger,121,78,R,49.49,48.93,.71,.86,50.28,49.72,"The other vote was: Litzel, Jerry (Nominated by Petition) 10; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 25; Goode, Virgil H. Jr. (Write-in) 31; Scattered Write-In (Write-in) 47; La Riva, Gloria (Socialism and Liberation) 6",,"The other vote was: Litzel, Jerry (Nominated by Petition) 10; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 25; Goode, Virgil H. Jr. (Write-in) 31; Scattered Write-In (Write-in) 47; La Riva, Gloria (Socialism and Liberation) 6"
President,Iowa,20121106,N/A,BLACK HAWK,County,"67,141","26,235","Romney, W. Mitt",Challenger,"39,821","Obama, Barack H.",Incumbent,Libertarian,540,"Johnson, Gary E.",Challenger,545,"13,586",D,39.07,59.31,.80,.81,39.72,60.28,"The other vote was: Litzel, Jerry (Nominated by Petition) 14; Harris, James (Socialist Workers Party) 15; Stein, Jill (Green) 118; Goode, Virgil H. Jr. (Write-in) 96; Scattered Write-In (Write-in) 289; La Riva, Gloria (Socialism and Liberation) 13",,"The other vote was: Litzel, Jerry (Nominated by Petition) 14; Harris, James (Socialist Workers Party) 15; Stein, Jill (Green) 118; Goode, Virgil H. Jr. (Write-in) 96; Scattered Write-In (Write-in) 289; La Riva, Gloria (Socialism and Liberation) 13"
President,Iowa,20121106,N/A,BOONE,County,"14,388","6,556","Romney, W. Mitt",Challenger,"7,512","Obama, Barack H.",Incumbent,Libertarian,122,"Johnson, Gary E.",Challenger,198,956,D,45.57,52.21,.85,1.38,46.60,53.40,"The other vote was: Litzel, Jerry (Nominated by Petition) 21; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 43; Goode, Virgil H. Jr. (Write-in) 55; Scattered Write-In (Write-in) 76; La Riva, Gloria (Socialism and Liberation) 1",,"The other vote was: Litzel, Jerry (Nominated by Petition) 21; Harris, James (Socialist Workers Party) 2; Stein, Jill (Green) 43; Goode, Virgil H. Jr. (Write-in) 55; Scattered Write-In (Write-in) 76; La Riva, Gloria (Socialism and Liberation) 1"
President,Iowa,20121106,N/A,BREMER,County,"13,346","6,405","Romney, W. Mitt",Challenger,"6,763","Obama, Barack H.",Incumbent,Libertarian,82,"Johnson, Gary E.",Challenger,96,358,D,47.99,50.67,.61,.72,48.64,51.36,"The other vote was: Litzel, Jerry (Nominated by Petition) 7; Harris, James (Socialist Workers Party) 4; Stein, Jill (Green) 16; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 53; La Riva, Gloria (Socialism and Liberation) 3",,"The other vote was: Litzel, Jerry (Nominated by Petition) 7; Harris, James (Socialist Workers Party) 4; Stein, Jill (Green) 16; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 53; La Riva, Gloria (Socialism and Liberation) 3"
President,Iowa,20121106,N/A,BUCHANAN,County,"10,535","4,450","Romney, W. Mitt",Challenger,"5,911","Obama, Barack H.",Incumbent,Libertarian,65,"Johnson, Gary E.",Challenger,109,"1,461",D,42.24,56.11,.62,1.03,42.95,57.05,"The other vote was: Litzel, Jerry (Nominated by Petition) 5; Harris, James (Socialist Workers Party) 5; Stein, Jill (Green) 34; Goode, Virgil H. Jr. (Write-in) 19; Scattered Write-In (Write-in) 42; La Riva, Gloria (Socialism and Liberation) 4",,"The other vote was: Litzel, Jerry (Nominated by Petition) 5; Harris, James (Socialist Workers Party) 5; Stein, Jill (Green) 34; Goode, Virgil H. Jr. (Write-in) 19; Scattered Write-In (Write-in) 42; La Riva, Gloria (Socialism and Liberation) 4"
